key,fare_amount
2015-01-27 13:08:24.0000002,8.450726
2015-01-27 13:08:24.0000003,9.060264
2011-10-08 11:53:44.0000002,6.4700127
2012-12-01 21:12:12.0000002,7.926102
2012-12-01 21:12:12.0000003,13.851728
2012-12-01 21:12:12.0000005,9.27729
2011-10-06 12:10:20.0000001,6.4950657
2011-10-06 12:10:20.0000003,51.960857
2011-10-06 12:10:20.0000002,8.430944
2014-02-18 15:22:20.0000002,8.616669
2014-02-18 15:22:20.0000003,10.304559
2014-02-18 15:22:20.0000001,15.081473
2010-03-29 20:20:32.0000002,5.68599
2010-03-29 20:20:32.0000001,6.434918
2011-10-06 03:59:12.0000002,6.975908
2011-10-06 03:59:12.0000001,11.989045
2012-07-15 16:45:04.0000006,5.887102
2012-07-15 16:45:04.0000002,9.267475
2012-07-15 16:45:04.0000003,6.8287864
2012-07-15 16:45:04.0000004,7.0330343
2014-10-29 02:09:56.0000001,12.270357
2014-06-14 13:39:00.00000010,8.483381
2014-06-14 13:39:00.00000060,8.577617
2014-06-14 13:39:00.00000087,8.381718
2014-06-14 13:39:00.00000050,17.639095
2014-06-14 13:39:00.0000003,7.9906726
2014-06-14 13:39:00.000000158,29.806614
2014-06-14 13:39:00.00000015,22.644728
2014-06-14 13:39:00.00000073,7.324025
2014-06-14 13:39:00.00000077,16.641256
2014-06-14 13:39:00.000000145,8.600219
2014-06-14 13:39:00.00000079,7.999797
2014-06-14 13:39:00.000000121,7.198167
2014-06-14 13:39:00.00000021,9.993278
2014-06-14 13:39:00.0000005,8.0874405
2014-06-14 13:39:00.000000165,8.745114
2014-06-14 13:39:00.000000184,8.114651
2014-06-14 13:39:00.00000059,7.3295555
2014-06-14 13:39:00.00000070,8.409871
2014-06-14 13:39:00.00000068,6.137466
2014-06-14 13:39:00.000000133,19.45156
2014-06-14 13:39:00.000000128,12.35336
2014-06-14 13:39:00.000000136,20.974936
2014-06-14 13:39:00.00000017,10.335345
2014-06-14 13:39:00.000000111,8.2389
2014-06-14 13:39:00.000000115,10.407192
2014-06-14 13:39:00.000000168,8.176065
2014-06-14 13:39:00.00000031,8.689612
2014-06-14 13:39:00.000000116,8.081354
2014-06-14 13:39:00.00000051,8.263783
2014-06-14 13:39:00.000000193,11.375857
2014-06-14 13:39:00.000000132,12.722245
2014-06-14 13:39:00.000000167,21.816252
2014-06-14 13:39:00.00000044,7.9572773
2014-06-14 13:39:00.000000138,9.006423
2014-06-14 13:39:00.00000066,12.650941
2014-06-14 13:39:00.00000063,11.059791
2014-06-14 13:39:00.000000154,11.087216
2014-06-14 13:39:00.00000097,12.740419
2014-06-14 13:39:00.00000067,12.125075
2014-06-14 13:39:00.000000179,11.882465
2014-06-14 13:39:00.00000092,8.983245
2014-06-14 13:39:00.00000029,8.332471
2014-06-14 13:39:00.000000177,8.537611
2014-06-14 13:39:00.000000192,8.428705
2014-06-14 13:39:00.000000181,8.131218
2014-06-14 13:39:00.000000120,9.252214
2014-06-14 13:39:00.0000008,7.858722
2014-06-14 13:39:00.000000103,8.218878
2014-06-14 13:39:00.00000049,15.245543
2014-06-14 13:39:00.000000108,8.391621
2014-06-14 13:39:00.00000072,8.236877
2014-06-14 13:39:00.000000182,10.389393
2014-06-14 13:39:00.00000061,7.9418774
2014-06-14 13:39:00.00000093,10.185256
2014-06-14 13:39:00.000000170,11.492218
2014-06-14 13:39:00.000000147,46.82317
2014-06-14 13:39:00.000000140,8.13636
2014-06-14 13:39:00.000000159,7.883956
2014-06-14 13:39:00.00000012,7.297975
2014-06-14 13:39:00.00000025,8.984085
2014-06-14 13:39:00.000000156,7.8023896
2014-06-14 13:39:00.000000152,8.855596
2014-06-14 13:39:00.000000129,10.035101
2014-06-14 13:39:00.000000119,19.190193
2014-06-14 13:39:00.000000118,6.437605
2014-06-14 13:39:00.00000076,8.355612
2014-06-14 13:39:00.000000135,8.328314
2014-06-14 13:39:00.00000023,17.866966
2014-06-14 13:39:00.00000082,9.639958
2014-06-14 13:39:00.000000125,9.824687
2014-06-14 13:39:00.00000075,10.446454
2014-06-14 13:39:00.000000124,8.376022
2014-06-14 13:39:00.000000172,8.125126
2014-06-14 13:39:00.00000024,13.767442
2014-06-14 13:39:00.000000169,12.339888
2014-06-14 13:39:00.00000052,11.1089945
2014-06-14 13:39:00.000000161,11.470643
2014-06-14 13:39:00.00000038,8.549042
2014-06-14 13:39:00.00000035,9.597295
2014-06-14 13:39:00.00000053,11.459629
2014-06-14 13:39:00.000000183,7.734595
2014-06-14 13:39:00.000000131,55.699776
2014-06-14 13:39:00.000000180,8.463309
2014-06-14 13:39:00.000000130,7.5442266
2014-06-14 13:39:00.00000032,6.678899
2014-06-14 13:39:00.000000148,9.856062
2014-06-14 13:39:00.0000007,9.906672
2014-06-14 13:39:00.00000095,11.599653
2014-06-14 13:39:00.000000144,33.249245
2014-06-14 13:39:00.000000141,29.17462
2014-06-14 13:39:00.000000162,19.462194
2014-06-14 13:39:00.00000018,10.077133
2014-06-14 13:39:00.00000054,10.656547
2014-06-14 13:39:00.00000040,8.1699705
2014-06-14 13:39:00.00000096,6.922905
2014-06-14 13:39:00.00000055,23.543966
2014-06-14 13:39:00.000000109,7.255568
